# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,-75.8403,-156.725,32.098,238.265
neckline edge,-75.7544,-156.628,32.277,238.239
neckline edge,-75.6686,-156.531,32.455,238.214
neckline edge,-75.5828,-156.434,32.633,238.189
neckline edge,-75.4969,-156.336,32.811,238.164
neckline edge,-75.4111,-156.237,32.988,238.138
neckline edge,-75.3252,-156.138,33.165,238.113
neckline edge,-75.2394,-156.039,33.342,238.088
neckline edge,-75.1536,-155.939,33.519,238.062
neckline edge,-75.0677,-155.838,33.695,238.037
neckline edge,-74.9819,-155.737,33.872,238.011
neckline edge,-74.8960,-155.636,34.048,237.986
neckline edge,-74.8102,-155.534,34.223,237.960
neckline edge,-74.7244,-155.432,34.399,237.935
neckline edge,-74.6385,-155.329,34.574,237.909
neckline edge,-74.5527,-155.226,34.749,237.883
neckline edge,-74.4668,-155.122,34.924,237.858
neckline edge,-74.3810,-155.018,35.098,237.832
neckline edge,-74.2952,-154.913,35.273,237.807
neckline edge,-74.2093,-154.808,35.447,237.781
neckline edge,-74.1235,-154.702,35.620,237.755
neckline edge,-74.0376,-154.596,35.794,237.729
neckline edge,-73.9518,-154.490,35.967,237.704
neckline edge,-73.8660,-154.383,36.140,237.678
neckline edge,-73.7801,-154.275,36.313,237.652
neckline edge,-73.6943,-154.167,36.485,237.626
neckline edge,-73.6084,-154.059,36.657,237.600
neckline edge,-73.5226,-153.950,36.829,237.574
neckline edge,-73.4367,-153.841,37.001,237.549
neckline edge,-73.3509,-153.731,37.172,237.523
neckline edge,-73.2651,-153.621,37.343,237.497
neckline edge,-73.1792,-153.511,37.514,237.471
neckline edge,-73.0934,-153.400,37.685,237.445
neckline edge,-73.0075,-153.288,37.855,237.419
neckline edge,-72.9217,-153.176,38.025,237.393
neckline edge,-72.8359,-153.064,38.195,237.367
neckline edge,-72.7500,-152.951,38.365,237.341
neckline edge,-72.6642,-152.838,38.534,237.314
neckline edge,-72.5783,-152.724,38.703,237.288
neckline edge,-72.4925,-152.610,38.872,237.262
neckline edge,-72.4067,-152.496,39.041,237.236
neckline edge,-72.3208,-152.381,39.209,237.210
neckline edge,-72.2350,-152.265,39.377,237.184
neckline edge,-72.1491,-152.150,39.545,237.157
neckline edge,-72.0633,-152.033,39.713,237.131
neckline edge,-71.9775,-151.917,39.880,237.105
neckline edge,-71.8916,-151.800,40.047,237.079
